"","subject","y","X_mean","X_sd","body_acc_x_mean","body_acc_x_sd","body_acc_y_mean","body_acc_y_sd","body_acc_z_mean","body_acc_z_sd","body_gyro_x_mean","body_gyro_x_sd","body_gyro_y_mean","body_gyro_y_sd","body_gyro_z_mean","body_gyro_z_sd","total_acc_x_mean","total_acc_x_sd","total_acc_y_mean","total_acc_y_sd","total_acc_z_mean","total_acc_z_sd"
"1",1,1,-0.33896101971616,0.470784997204493,-0.000598411659572368,0.258939983000235,-0.00343591268224342,0.187841186272941,-0.00308040846396875,0.130525200494542,-0.0555502911444885,0.46735526741317,0.0221323452675062,0.40023521346312,-0.0057427844143347,0.296053813664002,0.951557751408717,0.258096134870731,-0.337849416369819,0.186844654980539,0.0376397112492143,0.128557339046971
"2",1,2,-0.588662363339786,0.521098510602033,-0.000834898921163945,0.0348003156126977,-0.00193033643379127,0.0403199428471835,-0.00230245761473202,0.045823149840338,-0.0073938272101418,0.138954662864954,-0.000439498309564564,0.0796638451840515,0.00444729559077948,0.105953002905199,0.959982209596108,0.0337631204818133,-0.195359950734699,0.0370065652473882,0.0699509444973467,0.0412277813330003
"3",1,3,-0.44244400959062,0.490407660704415,-0.00481167284997369,0.16395012122007,0.00521465612966295,0.12678985109572,-0.00657175840112149,0.119935060560045,-0.0247310276327439,0.344563160211454,0.00919945616151307,0.28261228486511,0.00616230619560108,0.275606767799687,0.920097650717475,0.162850945527983,-0.150086592938329,0.123411664779955,-0.124163167009547,0.116824675368526
"4",1,4,-0.585053330171418,0.522721572787064,-0.000168925659831117,0.0458781236430803,-7.99119553869681e-05,0.0407981060476707,0.00011396243551629,0.0279441738546054,-0.0175343913704207,0.0933408534762296,0.00245826241176197,0.0857001139636123,0.00574725520927028,0.0717942351785304,0.749855132943401,0.0438152691487947,0.040738640568484,0.0389021054045222,0.255758498874801,0.0261578699261225
"5",1,5,-0.634778517274568,0.537491197624699,-0.000182935155975118,0.00697810421256666,0.00014715753495342,0.010639791182095,0.000970097969926592,0.0122907643963381,-0.00746392338213591,0.0229355004957411,0.00172113490805542,0.0255634884006621,-0.0118553143202368,0.0230299342914807,0.977478233918042,0.004945889406725,-0.230410901536498,0.00837681284402607,0.1757468104148,0.00876405139962856
"6",1,6,-0.578871333548536,0.527375186584824,0.00117859922186391,0.0487659460012525,-0.000372272800509187,0.0409765530283185,0.00027683917301375,0.0269445254006912,0.00168286378499216,0.10400605929108,-0.00986314118471937,0.092907030768937,0.0118977795792687,0.0753067602282294,0.268270731351766,0.0465042395496765,0.45823108326625,0.0402242808230691,0.469528501553641,0.0262339751705771
"7",2,1,-0.280078510338036,0.467042709663449,-0.000145270775869969,0.369792729099626,-0.000685809449602754,0.20284357505076,-0.000482767714586864,0.141902447695731,0.00680475583131621,0.632429416062467,-0.00537360199819915,0.379992803083229,-0.00857438226412871,0.392583243429825,0.992633570815678,0.369333341376732,-0.241114567590585,0.2020032030134,0.00885363410270392,0.140727908102655
"8",2,2,-0.568871076799048,0.517593476566725,-0.00154712060949023,0.0768344537822845,-0.000735933956932617,0.0510455529550892,0.000716606436927832,0.0456343660356957,-0.0203601757192187,0.148203507840597,0.00849071089226823,0.11148544049293,-0.00214417856625391,0.101639764814045,0.998645551416016,0.0763494316563008,-0.192495742926283,0.0496637962573903,-0.0555704965656693,0.0432306004064516
"9",2,3,-0.321369844562299,0.476871728850122,-0.00196600263262633,0.353389881118276,-0.00402723670618185,0.201593372170171,-0.00189933501110239,0.135982565306523,0.143726176482314,0.605508135197271,-0.0496665504658777,0.354807604567688,-0.0345257322717487,0.356366503799492,0.975792036103723,0.352647573757789,-0.267357299462533,0.200719897929969,-0.0443050589771714,0.133342919193892
"10",2,4,-0.634879451818026,0.531999254784141,-0.0012505878818913,0.0135057758774723,0.000123076994721569,0.0172252297155177,0.000958877126735734,0.0149534646994779,0.00354007663527004,0.0341866035702902,-0.00247437994330741,0.0340352289518377,0.0249471647888736,0.0309166802504651,0.261819252769022,0.00940702820903984,0.497907975641984,0.0131380748173276,0.62314741717731,0.0109851436634369
"11",2,5,-0.632740199079697,0.534566706612072,0.000422511506952257,0.0097495158429971,0.00383209891256018,0.0140478286980528,0.00123216033922454,0.0173155351407111,-0.0106379149534047,0.0274554553976457,-0.00309232107774512,0.0403694434169667,-0.00141740712391774,0.0286609331803894,0.905185872568866,0.00642523851320128,0.225978409043547,0.00960087958683857,0.323907233875376,0.0126827188690098
"12",2,6,-0.544760672755337,0.513963650505346,0.000307852958984472,0.0930324916131374,0.00218874196694417,0.0557120506053754,-0.00131804502044889,0.0453275616910748,0.0140344099481266,0.171322394647588,-0.00923376637417155,0.113348342030734,0.00795893936694076,0.129622362929783,0.290973123990039,0.0887824447998273,0.451547607453483,0.0549207567848496,0.569940240324121,0.0434112773723007
"13",3,1,-0.484903334221371,0.497338449987708,-0.000289874980438847,0.181297932808211,-0.00446962568807126,0.110164506749675,-0.000562226860778556,0.0807471467480338,0.0489162519904281,0.344571116666797,-0.00424125979061665,0.228350139230638,0.00348191013845744,0.223373439733095,1.00675432905442,0.180439845473836,-0.156654196887186,0.107928090312244,0.10286659935556,0.0764250581089689
"14",3,2,-0.623095376039138,0.528850029887812,-0.00597023724584568,0.0187468290068998,0.00102519241292293,0.0233006935032259,0.00139052165880339,0.0169038901516173,0.00166683086871425,0.0423983486985833,-0.0237176677395164,0.0514781900178413,0.022441948097987,0.0355760155377208,0.495237384871954,0.0109975802649221,0.243742556342809,0.0169835217630431,0.397267905564251,0.0131626437177892
"15",3,3,-0.622032684662185,0.525263662381987,0.000544150634074299,0.0151975004178712,0.00453525996889381,0.0251923309707159,0.00186471624404037,0.0211440620751708,-0.0180515252917422,0.0685248055319423,0.0172045648132156,0.0525933496241326,-0.0089041369431604,0.0457325257145541,1.01666709500957,0.0123894709767925,-0.00700876153106824,0.0172376196385904,0.105288331872385,0.0163069842766112
"16",3,4,-0.449127518273556,0.492250059958503,0.00103651881919351,0.17829655106646,0.00153378673272085,0.139894660987377,-0.000681414563164063,0.0711096941517177,-0.0222395449618089,0.400961801261145,0.000564925723527645,0.227086971437786,-0.00515840626914663,0.151433781694541,0.903529814059495,0.177940941230919,0.0539888599873888,0.13914921689373,0.155898059064435,0.0698156574910448
"17",3,5,-0.606943828410493,0.531508167277927,-0.00117384704759284,0.0352306232084733,0.00103522744336783,0.0308469340176995,-0.00110823261806327,0.0174672640053916,0.0115769210258977,0.0784326436290451,-0.0079794127793978,0.0597492382477251,0.0242559157992154,0.037228164241199,0.277071610596468,0.0301926099254278,0.702974617557672,0.0292784305418394,0.269542517549616,0.0161868600445767
"18",3,6,-0.383795300426629,0.484504149249958,-0.000935370409667338,0.289476400415407,0.000262918390196572,0.145851052126005,0.000219386228470262,0.100821554042351,-0.0213545582635497,0.512747876947169,-0.00217713371620464,0.274784333933839,-0.00946992600613911,0.244544118421395,1.00719950543095,0.288750544381706,-0.0905433531316658,0.144180112310227,0.125683792937429,0.0991153994423119
"19",4,1,-0.500632757492601,0.518799100910306,-0.000381333808279167,0.0902748500108983,-0.000320893095053125,0.0570520879394201,-0.000449590973644792,0.0822169481654165,-0.0141164282717997,0.165191533884402,-0.00175327800893281,0.378232165898696,0.00718353271024354,0.134375622719647,0.398824181889974,0.086636872767523,0.23525320350206,0.0561798652713631,0.509291085556354,0.0809714190291514
"20",4,2,-0.252385909380971,0.460051891997323,0.00100897007435397,0.291261500546261,0.000244807266757812,0.178278081044179,0.000618260544296755,0.213081087833335,-0.00857558709324069,0.45571542772956,-0.00282713508900541,0.837446155810966,-0.00270809295873197,0.420322762061323,0.979299333488582,0.290577429784407,-0.123200264823932,0.175428201190703,-0.204643006531505,0.2119639705534
"21",4,3,-0.314455296040467,0.47980867188911,-0.00151206287688889,0.217623688676442,-0.00297183783351215,0.142073025257111,-0.00380660585152674,0.183480429905077,0.00806369852871702,0.391179709273582,-0.00583886384364583,0.806855052451837,-0.00423494415278472,0.330580177125226,0.866517564975694,0.216639321685706,-0.0640007580247743,0.139591235864719,-0.0264165505327326,0.182112835238271
